,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006
727,210051428108,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,535.6,521.6,544.5,628.7,0,1.0,600.0,E,F,C,D,4.0,H
728,210052995518,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,445.2,455.0,438.8,385.2,1,1.0,580.0,C,E,C,C,3.0,C
729,210052651465,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,1,1,0,,341.6,421.5,,0,4.0,0.0,E,E,F,F,3.0,E
730,210053962623,2021,3,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,618.5,557.7,573.2,571.2,0,1.0,680.0,E,G,D,D,4.0,K
731,210054401566,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,389.9,543.7,510.7,656.7,1,1.0,520.0,B,G,D,D,4.0,H
732,210052484732,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,428.5,442.4,460.0,569.4,1,1.0,560.0,D,G,C,D,6.0,G
733,210053970076,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,1,1,1,1,651.9,593.6,559.1,639.9,0,1.0,860.0,F,G,D,D,5.0,L
734,210052900854,2021,2,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,489.4,613.6,581.1,661.4,0,1.0,680.0,E,D,E,D,3.0,H
735,210052316335,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,536.5,571.9,522.3,712.3,1,1.0,620.0,G,G,E,D,3.0,I
736,210053924011,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,511.8,551.2,523.8,584.7,1,1.0,480.0,G,G,E,E,4.0,Q
737,210051677036,2021,3,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3510609,Carapicuíba,35,SP,1,1,1,1,566.3,445.2,511.8,376.8,0,1.0,680.0,B,D,C,B,6.0,D
738,210051604159,2021,3,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,561.8,606.0,566.4,596.5,0,1.0,720.0,G,F,E,E,5.0,P
